name,category,playtime,playtime_num,avg_rating,num_ratings,min_players
Captain Sonar,Deduction,"(30, 60]",60,7.639639999999999,14985,2
Letters from Whitechapel,Bluffing,"(30, 60]",60,7.434589999999999,13173,2
Legends of Andor,Fighting,"(60, 90]",90,7.24574,13913,2
Talisman (Revised 4th Edition),Fighting,"(60, 90]",90,6.53718,12642,2
Merchants & Marauders,Fighting,>90,180,7.435960000000001,12345,2
Notre Dame,Economic,"(60, 90]",75,7.3657699999999995,11972,2
Secret Hitler,Bluffing,"(30, 60]",45,7.587860000000001,16293,5
Space Hulk: Death Angel â€“ The Card Game,Fighting,"(30, 60]",60,6.99383,11877,1
Pathfinder Adventure Card Game: Rise of the Runelords â€“ Base Set,Fighting,"(60, 90]",90,7.27195,11763,1
Diplomacy,Bluffing,>90,360,7.05243,11810,2
Liar's Dice,Bluffing,<=30,30,6.91821,12127,2
Mechs vs. Minions,Fighting,"(60, 90]",90,8.12782,13204,2
Deception: Murder in Hong Kong,Bluffing,<=30,20,7.53145,14670,4
A Feast for Odin,Economic,>90,120,8.180769999999999,15434,1
Descent: Journeys in the Dark,Fighting,>90,240,7.3143,11190,2
Evolution,Fighting,"(30, 60]",60,7.19797,12787,2
Spirit Island,Fighting,>90,120,8.370519999999999,20755,1
Rising Sun,Bluffing,>90,120,8.00452,14439,3
Goa,Economic,"(60, 90]",90,7.60498,10832,2
Ca$h 'n Guns (Second Edition),Bluffing,<=30,30,6.9594,12009,4
Above and Below,Economic,"(60, 90]",90,7.50327,11997,2
Nations,Economic,>90,200,7.6715100000000005,10862,1
Telestrations,Party Game,<=30,30,7.41051,11893,4
A Game of Thrones (First Edition),Bluffing,>90,180,7.246110000000001,10068,3
Jungle Speed,Party Game,<=30,10,6.53659,10833,2
War of the Ring (Second Edition),Fighting,>90,180,8.42735,12442,2
Summoner Wars: Master Set,Fighting,"(30, 60]",60,7.55392,10193,2
In the Year of the Dragon,Economic,>90,100,7.38305,10468,2
HeroQuest,Fighting,"(60, 90]",90,7.102060000000001,10553,2
Skull,Bluffing,"(30, 60]",45,7.17317,12818,3
Axis & Allies,Economic,>90,180,6.558860000000001,10113,2
Thunderstone,Fighting,"(30, 60]",60,6.969869999999999,9951,1
Food Chain Magnate,Economic,>90,240,8.18414,12724,2
Zombicide: Black Plague,Fighting,>90,180,7.73977,11801,1
Tobago,Deduction,"(30, 60]",60,7.12657,10224,2
Blood Bowl: Team Manager â€“ The Card Game,Fighting,"(60, 90]",90,7.3746,10081,2
Jenga,Party Game,<=30,20,5.58245,10913,1
Ca$h 'n Gun$,Bluffing,<=30,30,6.609139999999999,9649,4
Welcome to the Dungeon,Bluffing,<=30,30,6.65729,11065,2
Legendary Encounters: An Alien Deck Building Game,Fighting,"(30, 60]",60,7.79776,10639,1
Gaia Project,Economic,>90,150,8.53656,14283,1
Taboo,Party Game,<=30,20,6.28354,9974,4
Steam,Economic,"(60, 90]",90,7.6248,9373,3
Ora et Labora,Economic,>90,180,7.71547,9487,1
Bruges,Economic,"(30, 60]",60,7.45063,9855,2
Clans of Caledonia,Economic,>90,120,8.05595,13184,1
Champions of Midgard,Fighting,"(60, 90]",90,7.79091,12069,2
Fury of Dracula (Second Edition),Deduction,>90,180,7.1504199999999996,8872,2
Small World Underground,Fighting,"(60, 90]",90,7.299910000000001,9446,2
Mombasa,Economic,>90,150,7.921639999999999,10357,2
The Werewolves of Miller's Hollow,Bluffing,<=30,30,6.78826,9472,8
The Mind,Deduction,<=30,15,7.0392399999999995,16329,2
At the Gates of Loyang,Economic,>90,120,7.3853800000000005,9302,1
Grand Austria Hotel,Economic,>90,120,7.77435,11021,2
The Manhattan Project,Economic,>90,120,7.41617,8902,2
Viticulture,Economic,"(60, 90]",90,7.6482600000000005,9633,2
Fury of Dracula (third/fourth edition),Deduction,>90,180,7.5733,10561,2
Nexus Ops,Fighting,"(60, 90]",90,7.22964,8359,2
Last Will,Economic,"(60, 90]",75,7.21237,8762,2
Amun-Re,Economic,"(60, 90]",90,7.33098,8435,3
Poker,Bluffing,"(30, 60]",60,6.691739999999999,8879,2
Glen More,Economic,"(60, 90]",70,7.33712,8506,2
Mascarade,Bluffing,<=30,30,6.65192,8852,2
Hero Realms,Fighting,<=30,30,7.6843699999999995,10986,2
Charterstone,Economic,"(60, 90]",75,7.658930000000001,10717,1
Codenames: Duet,Deduction,<=30,30,7.71535,11899,2
Imperial,Economic,>90,180,7.617039999999999,8147,2
Glass Road,Economic,"(60, 90]",80,7.459110000000001,8681,1
Dungeons & Dragons: Castle Ravenloft Board Game,Fighting,"(30, 60]",60,6.97768,8239,1
Arcadia Quest,Fighting,"(30, 60]",60,7.81647,8790,2
Cranium,Party Game,"(30, 60]",60,5.68705,8318,4
Jambo,Economic,"(30, 60]",45,7.02922,7877,2
Pirate's Cove,Fighting,"(60, 90]",90,6.58053,7861,3
Vikings,Economic,"(30, 60]",60,7.26584,7827,2
Cuba,Economic,>90,120,7.157960000000001,7769,2
Pit,Economic,"(60, 90]",90,6.39326,8042,3
Runebound (Second Edition),Fighting,>90,240,6.889130000000001,7648,2
Yspahan,Economic,"(30, 60]",60,7.10018,7632,2
Heroscape Master Set: Rise of the Valkyrie,Fighting,"(60, 90]",90,7.42948,7681,2
Condottiere,Bluffing,"(30, 60]",45,6.78654,8308,2
Age of Steam,Economic,>90,120,7.69597,8430,1
Shadow Hunters,Bluffing,"(30, 60]",45,6.8327,7837,4
Once Upon a Time: The Storytelling Card Game,Party Game,<=30,30,6.4413800000000005,7878,2
Mystery of the Abbey,Deduction,"(60, 90]",90,6.54882,7560,3
Runewars,Fighting,>90,240,7.66713,7614,2
Navegador,Economic,"(60, 90]",90,7.562689999999999,7812,2
Scattergories,Party Game,<=30,30,6.15963,8092,2
Arboretum,Bluffing,<=30,30,7.418130000000001,11523,2
Monopoly Deal Card Game,Economic,<=30,15,6.26259,8169,2
Anachrony,Economic,>90,120,8.13322,10136,1
Chinatown,Economic,"(30, 60]",60,7.2674,8000,3
Trivial Pursuit: Genus Edition,Party Game,"(60, 90]",90,5.20655,7272,2
Mage Wars Arena,Fighting,"(60, 90]",90,7.68354,7226,2
Dungeon Roll,Fighting,<=30,15,6.14269,7273,1
Chicago Express,Economic,"(30, 60]",60,7.2293,7243,2
La Granja,Economic,>90,120,7.71128,8110,1
The Gallerist,Economic,>90,150,8.01737,8927,1
Civilization,Economic,>90,360,7.512389999999999,7007,2
StarCraft: The Board Game,Fighting,>90,240,7.337000000000001,6937,2
Taj Mahal,Bluffing,>90,100,7.3042,6958,3
Deep Sea Adventure,Party Game,<=30,30,7.08438,9578,2
Mr. Jack Pocket,Bluffing,<=30,15,6.94803,7242,2
Twilight Imperium (Fourth Edition),Economic,>90,480,8.72044,11474,3
Oh My Goods!,Economic,<=30,30,7.012810000000001,8518,2
Archipelago,Economic,>90,240,7.37949,7113,2
Space Hulk (third edition),Fighting,"(30, 60]",60,7.53902,6613,2
Cacao,Economic,"(30, 60]",45,7.12189,7585,2
Carson City,Economic,"(60, 90]",90,7.27078,6632,2
Airlines Europe,Economic,"(60, 90]",75,7.3284,6681,2
Claustrophobia,Fighting,"(30, 60]",45,7.547280000000001,6538,2
Finca,Economic,"(30, 60]",45,7.06826,6650,2
Rococo,Economic,>90,120,7.578869999999999,7181,2
Lord of the Rings: The Confrontation,Bluffing,<=30,30,7.2077800000000005,6433,2
Flick 'em Up!,Fighting,"(30, 60]",45,7.029210000000001,7258,2
Spartacus: A Game of Blood & Treachery,Fighting,>90,180,7.46593,6879,3
The Red Dragon Inn,Party Game,"(30, 60]",45,6.57217,6834,2
Tiny Epic Kingdoms,Bluffing,"(30, 60]",45,6.633589999999999,6765,2
Pictionary,Party Game,"(60, 90]",90,5.81643,6615,3
Cockroach Poker,Bluffing,<=30,20,6.62477,7845,2
Forbidden Stars,Bluffing,>90,180,7.98764,7110,2
Dinosaur Island,Economic,>90,120,7.88547,9998,1
Yokohama,Economic,"(60, 90]",90,7.911060000000001,7951,2
Wingspan,Economic,"(60, 90]",70,8.09865,32761,1
Exit: The Game â€“ The Abandoned Cabin,Deduction,>90,120,7.6676,7851,1
Fields of Arle,Economic,>90,120,8.13588,7415,1
Schotten Totten,Deduction,<=30,20,7.30702,6975,2
Dead of Winter: The Long Night,Bluffing,>90,120,7.7610399999999995,7271,2
Raptor,Fighting,<=30,25,7.405930000000001,7236,2
Not Alone,Bluffing,"(30, 60]",45,7.07762,7249,2
KeyForge: Call of the Archons,Fighting,"(30, 60]",45,7.65602,8526,2
Xia: Legends of a Drift System,Fighting,>90,180,7.84598,6853,3
Brass: Birmingham,Economic,>90,120,8.60949,14551,2
Rajas of the Ganges,Economic,"(60, 90]",75,7.69465,7731,2
Decrypto,Deduction,"(30, 60]",45,7.80797,9659,3
Agricola (Revised Edition),Economic,>90,120,8.12485,7982,1
Chronicles of Crime,Deduction,"(60, 90]",90,8.03759,11684,1
Just One,Party Game,<=30,20,7.57741,8979,3
The Lord of the Rings: Journeys in Middle-earth,Fighting,>90,120,8.401,6688,1
