name,year,average_rating,users_rated
Magic Maze,2017,7.19451,10373
Above and Below,2015,7.50327,10147
Nations,2013,7.67151,10070
Onitama,2014,7.47513,10185
Photosynthesis,2017,7.2488,10278
Red7,2014,6.96021,9938
The Grizzled,2015,7.26432,9923
War of the Ring (Second Edition),2012,8.42735,9862
Summoner Wars: Master Set,2011,7.55392,9752
Skull,2011,7.17317,9888
Food Chain Magnate,2015,8.18414,9790
Zombicide: Black Plague,2015,7.73977,9664
Blood Bowl: Team Manager â€“ The Card Game,2011,7.3746,9433
Port Royal,2014,7.14822,9527
Welcome to the Dungeon,2013,6.65729,9439
Legendary Encounters: An Alien Deck Building Game,2014,7.79776,9258
Gaia Project,2017,8.53656,9442
Firefly: The Game,2013,7.39484,9126
Targi,2012,7.61183,9071
Ora et Labora,2011,7.71547,8877
The 7th Continent,2017,8.42127,9085
Bruges,2013,7.45063,8889
Clans of Caledonia,2017,8.05595,9086
Potion Explosion,2015,7.19189,8881
Champions of Midgard,2015,7.79091,8922
Small World Underground,2011,7.29991,8675
Quadropolis,2016,7.34259,8730
Eminent Domain,2011,7.088,8626
Mombasa,2015,7.92164,8635
Dice Forge,2017,7.33848,8834
Raiders of the North Sea,2015,7.82341,8795
Imhotep,2016,7.23276,8526
The Mind,2018,7.03924,8944
Inis,2016,7.79443,8514
Grand Austria Hotel,2015,7.77435,8440
The Manhattan Project,2012,7.41617,8335
Viticulture,2013,7.64826,8372
Discworld: Ankh-Morpork,2011,7.21444,8319
Fury of Dracula (third/fourth edition),2015,7.5733,8334
Last Will,2011,7.21237,8126
Bora Bora,2013,7.57287,8069
Mascarade,2013,6.65192,7999
Hero Realms,2016,7.68437,8108
Charterstone,2017,7.65893,8053
Pandemic: The Cure,2014,7.33862,7932
Codenames: Duet,2017,7.71535,8048
Between Two Cities,2015,7.06118,7932
Glass Road,2013,7.45911,7882
Arcadia Quest,2014,7.81647,7809
Euphoria: Build a Better Dystopia,2013,7.28433,7809
Lanterns: The Harvest Festival,2015,6.96363,7778
Abyss,2014,7.29832,7720
Las Vegas,2012,7.10697,7545
Paperback,2014,7.26124,7365
Elysium,2015,7.27577,7259
Arboretum,2015,7.41813,7452
Mission: Red Planet (Second Edition),2015,7.51435,7203
Pandemic Legacy: Season 2,2017,8.25434,7302
Root,2018,8.09073,7661
Trains,2012,7.20295,7011
Anachrony,2017,8.13322,7224
Qwixx,2012,6.88946,6982
A Few Acres of Snow,2011,7.4116,6885
Rise of Augustus,2013,6.75523,6883
Roll Player,2016,7.52968,7127
XCOM: The Board Game,2015,7.08792,6863
Mage Wars Arena,2012,7.68354,6825
Dungeon Roll,2013,6.14269,6826
Harry Potter: Hogwarts Battle,2016,7.52221,6946
Risk Legacy,2011,7.47654,6753
La Granja,2014,7.71128,6764
The Gallerist,2015,8.01737,6867
Terror in Meeple City,2013,6.89321,6669
Karuba,2015,7.22815,6712
Deep Sea Adventure,2014,7.08438,6749
Flamme Rouge,2016,7.57443,6874
Eight-Minute Empire,2012,6.60546,6638
BÃ¤renpark,2017,7.37703,6818
Ethnos,2017,7.52144,6709
Twilight Imperium (Fourth Edition),2017,8.72044,6851
Oh My Goods!,2015,7.01281,6658
Mystic Vale,2016,7.29962,6553
Archipelago,2012,7.37949,6481
Cacao,2015,7.12189,6440
Airlines Europe,2011,7.3284,6357
Rhino Hero,2011,6.96432,6403
The Game,2015,6.71658,6401
Rococo,2013,7.57887,6306
Flick 'em Up!,2015,7.02921,6265
Broom Service,2015,7.22617,6234
Spartacus: A Game of Blood & Treachery,2012,7.46593,6193
Deus,2014,7.34946,6166
Among the Stars,2012,7.13985,6145
Tiny Epic Kingdoms,2014,6.63359,6156
Burgle Bros.,2015,7.6153,6196
Pandemic: Iberia,2016,7.98722,6158
Celestia,2015,7.039,6104
Forbidden Stars,2015,7.98764,6074
Lancaster,2011,7.4462,6026
Morels,2012,7.02618,6043
Dinosaur Island,2017,7.88547,6215
Smash Up: Awesome Level 9000,2013,7.29859,5971
Hanamikoji,2013,7.55369,6104
Onirim (second edition),2014,7.14762,5983
Pandemic: Reign of Cthulhu,2016,7.45369,5925
Yokohama,2016,7.91106,5989
Wingspan,2019,8.09865,7572
Kingdom Death: Monster,2015,8.79429,5894
Exit: The Game â€“ The Abandoned Cabin,2016,7.6676,5920
Exploding Kittens: NSFW Deck,2015,6.18116,5852
Fields of Arle,2014,8.13588,5792
Tides of Time,2015,6.71333,5711
Dead of Winter: The Long Night,2016,7.76104,5759
Quantum,2013,7.30488,5691
Belfort,2011,7.27389,5572
Raptor,2015,7.40593,5658
Lorenzo il Magnifico,2016,7.85842,5644
Not Alone,2016,7.07762,5611
AquaSphere,2014,7.30626,5528
KeyForge: Call of the Archons,2018,7.65602,5735
ICECOOL,2016,6.87537,5554
Architects of the West Kingdom,2018,7.93649,6071
Xia: Legends of a Drift System,2014,7.84598,5521
FUSE,2015,7.10067,5468
Brass: Birmingham,2018,8.60949,5748
That's Pretty Clever,2018,7.64723,5784
Blueprints,2013,6.87415,5404
Welcome To...,2018,7.67268,6024
Spyrium,2013,7.11267,5322
DC Comics Deck-Building Game,2012,7.02908,5315
Dungeons & Dragons: Wrath of Ashardalon Board Game,2011,7.1743,5299
Cottage Garden,2016,6.9769,5358
Marvel Dice Masters: Avengers vs. X-Men,2014,7.21096,5255
Tash-Kalar: Arena of Legends,2013,7.20032,5186
Age of War,2014,6.4196,5205
CV,2013,6.69543,5157
Dungeon Fighter,2011,6.84984,5108
The Quest for El Dorado,2017,7.55251,5358
Aeon's End,2016,8.06597,5276
Kanagawa,2016,7.14923,5135
One Deck Dungeon,2016,7.21036,5161
Steam Park,2013,6.91879,5039
Rajas of the Ganges,2017,7.69465,5181
This War of Mine: The Board Game,2017,7.91553,5122
Clank! In! Space!,2017,7.9003,5107
Dungeons & Dragons: The Legend of Drizzt Board Game,2011,7.28687,4954
Star Wars: The Card Game,2012,7.25414,4918
Amerigo,2013,7.47813,4900
Room 25,2013,6.78423,4900
Tsuro of the Seas,2012,6.57239,4878
Specter Ops,2015,7.27921,4865
BattleLore (Second Edition),2013,7.81315,4868
Cry Havoc,2016,7.31285,4833
Near and Far,2017,7.93063,4866
Queendomino,2017,7.34619,4906
Steampunk Rally,2015,7.2792,4760
Trickerion: Legends of Illusion,2015,7.84062,4781
Clash of Cultures,2012,7.6438,4724
Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,2012,6.56584,4724
The Bloody Inn,2015,6.96652,4734
Decrypto,2018,7.80797,4937
Agricola (Revised Edition),2016,8.12485,4801
The Castles of Burgundy: The Card Game,2016,7.10424,4646
New York 1901,2015,6.89074,4565
Tajemnicze Domostwo,2013,7.25443,4515
Myrmes,2012,7.30023,4515
Viceroy,2014,6.89435,4516
Tiny Epic Quest,2017,7.1869,4529
The Big Book of Madness,2015,7.02451,4503
Love Letter: Batman,2015,7.29967,4462
Teotihuacan: City of Gods,2018,7.99729,4889
Vast: The Crystal Caverns,2016,7.28324,4479
The Quacks of Quedlinburg,2018,7.63454,5002
Ginkgopolis,2012,7.43078,4411
Thunderstone Advance: Towers of Ruin,2012,7.41667,4385
Star Fluxx,2011,6.38251,4394
Ashes: Rise of the Phoenixborn,2015,7.39464,4409
Adrenaline,2016,7.1634,4400
Loony Quest,2015,7.00685,4370
San Juan (Second Edition),2014,7.54951,4370
Wiz-War (eighth edition),2012,7.08994,4311
Gears of War: The Board Game,2011,7.46971,4320
Chronicles of Crime,2018,8.03759,4797
Warhammer Quest: The Adventure Card Game,2015,7.44384,4331
Diamonds,2014,6.97945,4306
Evolution: Climate,2016,7.74176,4354
Black Fleet,2014,7.04145,4269
La Isla,2014,6.91968,4261
Lords of Xidit,2014,7.17082,4281
Altiplano,2017,7.56525,4321
Star Realms: Colony Wars,2015,7.90463,4252
The Fox in the Forest,2017,7.37777,4331
Stockpile,2015,7.55907,4203
Kanban: Driver's Edition,2014,7.82298,4254
Scoville,2014,7.18449,4121
Fleet,2012,6.95492,4074
Coimbra,2018,7.7626,4328
Lisboa,2017,8.19653,4173
Nations: The Dice Game,2014,6.97358,4063
Bunny Kingdom,2017,7.40014,4156
YamataÃ¯,2017,7.2651,4050
Rune Age,2011,6.81676,3981
Harbour,2015,6.56702,3983
Francis Drake,2013,7.45323,3960
One Night Ultimate Werewolf Daybreak,2015,7.44072,3955
Dream Home,2016,6.96864,3984
Bruxelles 1893,2013,7.65121,3951
NMBR 9,2017,6.97411,4025
Fabled Fruit,2016,7.10778,3936
The Godfather: Corleone's Empire,2017,7.62976,3965
Exit: The Game â€“ The Secret Lab,2016,7.24022,3933
Eight-Minute Empire: Legends,2013,7.0079,3895
Dixit: Journey,2012,7.44288,3866
Rex: Final Days of an Empire,2012,7.12675,3855
The Networks,2016,7.27125,3894
Star Wars: Armada,2015,7.9034,3857
Snowdonia,2012,7.43705,3833
Hawaii,2011,7.18123,3840
Coal Baron,2013,7.3015,3828
Santiago de Cuba,2011,6.93337,3825
5-Minute Dungeon,2017,7.22912,3922
Dice City,2015,6.8283,3804
Kodama: The Tree Spirits,2016,6.8106,3795
Discoveries: The Journals of Lewis and Clark,2015,7.14076,3772
Hyperborea,2014,7.26142,3756
Samurai Spirit,2014,6.72482,3755
Downforce,2017,7.42023,3854
Core Worlds,2011,7.20488,3715
Heaven & Ale,2017,7.61458,3834
Exit: The Game â€“ The Pharaoh's Tomb,2016,7.3243,3766
First Class: All Aboard the Orient Express!,2016,7.53474,3742
Mint Works,2017,7.15192,3763
Nightfall,2011,6.51342,3685
Zombicide Season 2: Prison Outbreak,2013,7.4342,3708
Everdell,2018,7.97165,3799
Citadels,2016,7.39037,3804
Pulsar 2849,2017,7.76809,3769
Epic Card Game,2015,6.53915,3655
Star Wars: Destiny,2016,7.69568,3672
Timeline: Events,2011,6.78073,3650
Guildhall,2012,6.96668,3638
Legacy: The Testament of Duke de Crecy,2013,7.20435,3642
The Manhattan Project: Energy Empire,2016,7.82287,3685
51st State: Master Set,2016,7.70461,3633
Runebound (Third Edition),2015,7.57624,3642
Dead Man's Draw,2015,6.85747,3596
Valley of the Kings,2014,7.09893,3589
The Palaces of Carrara,2012,7.21073,3529
Century: Golem Edition,2017,7.74212,3640
Majesty: For the Realm,2017,7.04941,3551
Tragedy Looper,2011,7.27903,3521
Yggdrasil,2011,7.06782,3491
Marvel Dice Masters: Uncanny X-Men,2014,7.28179,3481
Junk Art,2016,7.49091,3569
Two Rooms and a Boom,2013,7.04065,3507
Cthulhu Wars,2015,7.94909,3540
Rialto,2013,6.93484,3470
A Game of Thrones: The Card Game (Second Edition),2015,7.67101,3490
Linko!,2014,7.03349,3463
COâ‚‚,2012,7.2191,3430
Android: Infiltration,2012,6.57337,3412
HonshÅ«,2016,7.04129,3429
The Builders: Middle Ages,2013,6.5198,3396
Nippon,2015,7.7393,3398
The Duke,2013,7.45026,3381
Smash Up: Science Fiction Double Feature,2014,7.35115,3366
Sekigahara: The Unification of Japan,2011,8.04934,3390
Merchant of Venus (second edition),2012,7.19534,3319
Fallout,2017,7.04787,3395
Reef,2018,7.24216,3516
The Oracle of Delphi,2016,7.34091,3352
Freedom: The Underground Railroad,2012,7.59838,3301
Santa Maria,2017,7.61073,3390
Tyrants of the Underdark,2016,7.87453,3340
Timeline: Diversity,2012,6.81319,3279
Madeira,2013,7.63625,3274
Power Grid: The First Sparks,2011,6.83325,3259
D-Day Dice,2012,6.85031,3244
Conan,2016,7.82053,3237
Shakespeare,2015,7.46505,3227
1775: Rebellion,2013,7.72288,3216
Endeavor: Age of Sail,2018,8.16749,3365
Caverna: Cave vs Cave,2017,7.29945,3273
Panamax,2014,7.35675,3190
Fortune and Glory: The Cliffhanger Game,2011,7.10106,3171
Ascension: Storm of Souls,2011,7.31629,3172
Krosmaster: Arena,2012,6.8538,3157
Via Nebula,2016,7.11546,3147
Yedo,2012,7.41941,3115
Ex Libris,2017,7.27416,3177
Millennium Blades,2016,7.79883,3113
Dragon Castle,2017,7.3276,3182
Flip City,2014,6.38562,3096
Tales & Games: The Hare & the Tortoise,2011,7.10993,3087
Coconuts,2013,7.06875,3088
Power Grid Deluxe: Europe/North America,2014,8.05039,3081
Risk: Star Wars Edition,2015,7.11329,3074
Space Cadets,2012,6.62388,3036
Century: Eastern Wonders,2018,7.39244,3154
Tiny Epic Western,2016,6.72422,3046
Azul: Stained Glass of Sintra,2018,7.57824,3360
Joking Hazard,2016,6.48578,3068
Shadowrun: Crossfire,2014,7.2013,3028
Timeline: Discoveries,2011,6.75464,3012
Medieval Academy,2014,6.98531,3020
Star Trek: Fleet Captains,2011,7.54155,2996
Smash Up: The Obligatory Cthulhu Set,2013,6.79761,2999
The Little Prince: Make Me a Planet,2013,6.92,3004
Massive Darkness,2017,7.38072,3038
Ascension: Return of the Fallen,2011,7.309,2988
Le Havre: The Inland Port,2012,6.9185,2986
Mottainai,2015,7.04501,2980
Gizmos,2018,7.51547,3243
Happy Salmon,2016,6.88315,2990
GÃ¹gÅng,2018,7.63766,3159
Hostage Negotiator,2015,7.02226,2989
KLASK,2014,7.61455,2985
Baseball Highlights: 2045,2015,7.58323,2948
Shadows of Brimstone: City of the Ancients,2014,8.00881,2927
A Study in Emerald,2013,7.21434,2911
The Lost Expedition,2017,7.16802,2971
Gravwell: Escape from the 9th Dimension,2013,6.93823,2910
Mafia de Cuba,2015,6.62905,2914
Lords of Hellas,2018,8.05205,2992
Akrotiri,2014,7.31407,2879
Valeria: Card Kingdoms,2016,7.4649,2900
13 Days: The Cuban Missile Crisis,2016,7.42733,2863
Star Trek: Catan,2012,7.02841,2835
Mare Nostrum: Empires,2016,7.62705,2852
Panic Station,2011,6.03579,2818
Samurai Sword,2012,6.70002,2815
Western Legends,2018,7.75303,2927
XenoShyft: Onslaught,2015,7.02294,2804
Dark Moon,2011,7.06417,2788
Yomi,2011,7.03629,2768
Space Cadets: Dice Duel,2013,6.84428,2767
Smash Up: Pretty Pretty Smash Up,2015,7.33919,2759
Super Motherload,2015,7.44637,2779
Thunder Alley,2014,7.35466,2765
Martian Dice,2011,6.3246,2744
Munchkin Zombies,2011,6.25472,2737
Unfair,2017,7.39283,2731
Pandemic: Contagion,2014,6.46008,2701
The Others,2016,7.45951,2708
Love Letter Premium,2016,7.54588,2746
Tournay,2011,7.0259,2678
The Pursuit of Happiness,2015,7.26499,2692
Space Base,2018,7.45946,2938
City of Horror,2012,6.72351,2655
BattleCON: Devastation of Indines,2013,7.99844,2662
Villainous,2018,7.09857,2873
Fog of Love,2017,7.27599,2771
Relic,2013,6.84115,2658
Good Cop Bad Cop,2014,6.69198,2658
Timeline: Music & Cinema,2013,6.77067,2650
Pictomania,2011,7.3165,2646
Vinhos Deluxe Edition,2016,8.25225,2685
Carcassonne: South Seas,2013,7.13145,2629
Kolejka,2011,6.74535,2623
A Fake Artist Goes to New York,2012,7.13757,2662
Cargo Noir,2011,6.48623,2602
World's Fair 1893,2016,7.24436,2620
Pixel Tactics,2012,6.99637,2601
The Great Zimbabwe,2012,7.78591,2608
Meeple Circus,2017,7.19073,2646
Smash Up: Monster Smash,2014,7.36174,2567
"Artifacts, Inc.",2014,6.85552,2584
The Colonists,2016,7.74889,2577
ZhanGuo,2014,7.6219,2559
Thunderstone: Dragonspire,2011,7.36669,2549
Space Empires: 4X,2011,7.64397,2576
Black Orchestra,2016,7.5402,2616
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2017,7.9162,2590
Beasty Bar,2014,6.84332,2560
Fugitive,2017,7.32537,2611
Tides of Madness,2016,6.91783,2564
"Warhammer 40,000: Conquest",2014,7.38963,2526
Cthulhu Fluxx,2012,6.11915,2526
Sid Meier's Civilization: A New Dawn,2017,7.4034,2585
Detective: A Modern Crime Board Game,2018,8.18476,2734
Ninjato,2011,7.23723,2501
Outlive,2017,7.49467,2556
SeaFall,2016,6.46687,2506
Pax Porfiriana,2012,7.67221,2473
Dale of Merchants,2015,7.20193,2505
Too Many Bones,2017,8.5158,2559
Dark Souls: The Board Game,2017,6.64373,2509
Indigo,2012,6.87371,2469
The Grimm Forest,2018,7.27031,2510
When I Dream,2016,7.17766,2541
Magic: The Gathering â€“ Arena of the Planeswalkers,2015,6.3705,2462
Islebound,2016,7.26548,2456
Super Dungeon Explore,2011,6.86119,2421
Cthulhu Realms,2015,6.78543,2428
Olympos,2011,6.96333,2402
Hit Z Road,2016,6.80608,2431
Lost Legacy: The Starship,2014,6.66145,2385
Star Wars: X-Wing Miniatures Game â€“ The Force Awakens Core Set,2015,7.96683,2393
Vanuatu,2011,7.23069,2380
Dr. Eureka,2015,6.69427,2409
Cryptid,2018,7.58436,2653
Brew Crafters,2013,7.53605,2386
Fields of Green,2016,7.21792,2398
A Game of Thrones: Hand of the King,2016,6.76072,2410
Saint Petersburg (second edition),2014,7.53315,2360
Strasbourg,2011,7.1743,2344
Monikers,2015,7.75109,2397
Argent: The Consortium,2015,7.71113,2386
Unearth,2017,6.95678,2376
Mondo,2011,6.54294,2299
Legendary: Villains â€“ A Marvel Deck Building Game,2014,7.64564,2304
Jump Drive,2017,7.04901,2335
Oceanos,2016,6.94228,2315
Sail to India,2013,6.76528,2290
Compounded,2013,6.79422,2291
Dice Throne: Season One,2018,7.83451,2360
Sword & Sorcery,2017,8.13806,2278
Treasure Hunter,2015,6.78728,2254
Vikings Gone Wild,2017,7.35465,2269
Welcome Back to the Dungeon,2016,6.86204,2274
Dead Men Tell No Tales,2015,7.16568,2259
Pirate Fluxx,2011,6.19733,2233
Favor of the Pharaoh,2015,6.83657,2242
Automobiles,2016,7.39468,2233
New York Slice,2017,6.8176,2226
Tiny Epic Defenders,2015,6.34657,2210
Escape Room: The Game,2016,7.20556,2225
Pergamon,2011,6.9258,2175
Sons of Anarchy: Men of Mayhem,2014,7.36011,2179
Nusfjord,2017,7.54816,2221
Roll For It!,2011,6.11032,2170
Herbaceous,2017,7.15383,2194
Nemesis,2018,8.46036,2285
Nefarious,2011,6.35323,2137
London (Second Edition),2017,7.67561,2190
Villages of Valeria,2017,7.10133,2155
The Great Heartland Hauling Co.,2013,6.93555,2131
Pathfinder Adventure Card Game: Skull & Shackles â€“ Base Set,2014,7.36193,2124
Ulm,2016,7.11078,2142
Nothing Personal,2013,7.12196,2100
Historia,2014,6.96039,2083
Legendary Encounters: A Predator Deck Building Game,2015,7.53233,2083
Bloodborne: The Card Game,2016,6.97057,2104
Witness,2014,7.32825,2077
Coup: Rebellion G54,2014,7.06884,2076
First Martians: Adventures on the Red Planet,2017,6.75343,2100
Sylvion,2015,7.19218,2068
Struggle for Catan,2011,6.20099,2059
Signorie,2015,7.46303,2082
Lotus,2016,6.79898,2070
My Village,2015,7.02081,2077
Skull King,2013,7.27149,2100
Stuffed Fables,2018,7.7587,2121
Walnut Grove,2011,6.99834,2038
1812: The Invasion of Canada,2012,7.3696,2038
Whistle Stop,2017,7.19652,2087
Zombicide Season 3: Rue Morgue,2015,7.61371,2050
Codenames: Deep Undercover,2016,6.67796,2063
Railroad Ink: Deep Blue Edition,2018,7.35584,2237
Catan: Junior,2012,6.66318,2023
Evo (second edition),2011,6.97459,2002
Copycat,2012,6.7762,2001
Rhino Hero: Super Battle,2017,7.31748,2064
Doomtown: Reloaded,2014,7.20819,1985
A Study in Emerald (second edition),2015,6.97659,1994
Quartermaster General,2014,7.40961,1979
Dogs of War,2014,7.52151,2006
Relic Runners,2013,6.64929,1982
Fireball Island: The Curse of Vul-Kar,2018,7.22745,2092
Churchill,2015,7.71119,1990
Archaeology: The New Expedition,2016,7.17092,2004
Cuba Libre,2013,7.74565,1993
The Battle of Five Armies,2014,7.89792,1967
Bears vs Babies,2017,5.58569,1998
Ticket to Ride: New York,2018,7.10619,2069
Shadows of Brimstone: Swamps of Death,2014,8.08644,1953
The Witcher Adventure Game,2014,6.40777,1954
The Oregon Trail Card Game,2016,4.37668,1965
Warhammer Underworlds: Shadespire,2017,7.97916,1975
Ascending Empires,2011,7.18919,1940
Royals,2014,7.17774,1940
Masmorra: Dungeons of Arcadia,2017,7.15457,1943
New Angeles,2016,7.25846,1957
Unusual Suspects,2015,6.48884,1942
Imagine,2015,6.98201,1955
Merlin,2017,7.10361,1958
Cheating Moth,2011,6.48588,1951
Unlock! Squeek & Sausage,2017,7.26866,1943
Drako,2011,6.694,1922
Pastiche,2011,6.84892,1911
Barony,2015,7.10261,1917
Star Trek: Ascendancy,2016,7.78558,1931
Tiny Epic Zombies,2018,7.26403,1987
Railroad Revolution,2016,7.39721,1908
The Golden Ages,2014,7.31656,1902
Istanbul: The Dice Game,2017,7.20476,1950
Qin,2012,6.79739,1888
Urban Sprawl,2011,6.76401,1886
Unlock! The Formula,2017,7.13122,1910
Plague Inc.: The Board Game,2017,7.64465,1904
Indian Summer,2017,6.88061,1917
Ticket to Ride: Rails & Sails,2016,7.40737,1904
Wasteland Express Delivery Service,2017,7.54733,1911
Greed,2014,6.71602,1875
1989: Dawn of Freedom,2012,7.82124,1859
Polis: Fight for the Hegemony,2012,7.7004,1852
Helvetia,2011,6.99917,1842
Patchistory,2013,7.20206,1845
The Staufer Dynasty,2014,7.19155,1851
Saint Malo,2012,6.47509,1834
The Adventurers: The Pyramid of Horus,2011,6.78584,1819
BraveRats,2011,6.46462,1830
Underwater Cities,2018,8.05133,2160
Gold West,2015,7.4511,1832
Mythic Battles: Pantheon,2017,8.62711,1827
Newton,2018,7.71085,2022
Automania,2015,7.37951,1810
Kingsport Festival,2014,6.77721,1809
Werewords,2017,7.2517,1877
Pairs,2014,6.39935,1811
Ponzi Scheme,2015,7.24084,1806
Carpe Diem,2018,7.57006,1956
The Castles of Burgundy: The Dice Game,2017,6.97767,1839
Dragonwood,2015,6.79966,1805
WÃ¼rfel Bohnanza,2012,6.68406,1780
Impulse,2013,6.88681,1766
Fuji Flush,2016,6.54785,1786
The Captain Is Dead,2014,7.24022,1790
Kittens in a Blender,2011,5.74976,1761
Kraftwagen,2015,7.30934,1771
La Boca,2013,6.99758,1762
Level 7 [Omega Protocol],2013,7.50575,1743
Star Trek: Attack Wing,2013,7.53202,1740
Nemo's War (second edition),2017,8.06055,1777
Deadwood,2011,6.40975,1737
Fire in the Lake,2014,8.04945,1750
Encore!,2016,7.03173,1780
My Little Scythe,2017,7.52468,1812
Lovecraft Letter,2017,7.27079,1782
Zombie 15',2014,6.9287,1731
Viral,2017,7.12576,1756
The Ancient World,2014,7.10741,1746
Betrayal at Baldur's Gate,2017,7.1962,1762
Council of Verona,2013,6.37543,1715
Fief: France 1429,2015,7.46862,1722
Odin's Ravens (Second Edition),2016,7.10031,1756
Coin Age,2013,6.10305,1699
Watson & Holmes,2015,7.41126,1720
Heroes of Normandie,2014,7.53906,1701
Warhammer: Diskwars,2013,7.1872,1699
Founders of Gloomhaven,2018,6.86127,1734
Telestrations: 12 Player Party Pack,2011,7.7835,1699
Alien Artifacts,2017,6.82659,1720
Murano,2014,7.23799,1690
Insider,2016,7.07151,1709
Wits & Wagers Party,2012,6.93704,1692
The City,2011,6.5522,1682
Arkham Horror (Third Edition),2018,7.94776,1820
Cube Quest,2013,6.84681,1679
Tortuga 1667,2017,7.02817,1698
Council of 4,2015,7.17614,1690
Ghost Fightin' Treasure Hunters,2013,7.14822,1703
