Game,Country,Number of Users,Average Rating
Agricola,Denmark,28,8.80
Agricola,Ecuador,1,10.00
Agricola,England,23,8.61
Agricola,Estonia,11,8.20
Agricola,Finland,39,8.91
Agricola,France,45,8.67
Agricola,Germany,231,8.74
Agricola,Greece,43,8.75
Agricola,Guatemala,1,9.00
Agricola,Guernsey,1,9.00
Agricola,Honduras,1,8.50
Agricola,Hong Kong,11,8.37
Agricola,Hungary,18,8.56
Agricola,Iceland,3,8.83
Agricola,India,3,8.33
Agricola,Indonesia,8,8.40
Agricola,Iran,1,8.00
Agricola,Ireland,11,8.64
Agricola,Isle of Man,1,9.50
Agricola,Israel,15,8.08
Agricola,Italy,77,8.34
Agricola,Japan,32,7.97
Agricola,Latvia,5,9.00
Agricola,Lithuania,13,8.88
Agricola,Luxembourg,3,9.00
Agricola,Malaysia,11,7.90
Agricola,Malta,1,9.00
Agricola,Mexico,14,9.31
Agricola,Mongolia,1,10.00
Agricola,Netherlands,75,8.37
Agricola,New Zealand,27,7.99
Agricola,Norway,20,8.91
Agricola,Other-Middle East,1,9.00
Agricola,Panama,1,9.50
Agricola,Peru,6,7.83
Agricola,Philippines,8,8.00
Agricola,Poland,140,8.42
Agricola,Portugal,17,8.03
Agricola,Qatar,1,7.20
Agricola,Romania,18,8.39
Agricola,Russia,20,8.28
Agricola,Scotland,5,7.00
Agricola,Serbia,7,8.89
Agricola,Singapore,12,7.38
Agricola,Slovakia,4,6.78
Agricola,Slovenia,4,9.00
Agricola,South Africa,7,8.00
Agricola,South Korea,37,8.24
Agricola,Spain,233,8.55
Agricola,Sweden,65,7.86
Agricola,Switzerland,19,8.53
Agricola,Taiwan,37,8.94
Agricola,Thailand,12,8.71
Agricola,Trinidad and Tobago,1,9.00
Agricola,Ukraine,8,7.61
Agricola,United Kingdom,219,8.38
Agricola,USA,1902,8.28
Agricola,Uruguay,1,9.50
Agricola,Venezuela,2,7.50
Agricola,Vietnam,4,8.88
Agricola,Wales,2,7.50
Alhambra,American Samoa,1,8.00
Alhambra,Argentina,20,7.76
Alhambra,Australia,82,7.40
Alhambra,Austria,17,7.88
Alhambra,Belgium,45,7.24
Alhambra,Brazil,33,7.95
Alhambra,Brunei,1,7.00
Alhambra,Bulgaria,5,7.80
Alhambra,Canada,218,7.65
Alhambra,Chile,12,7.17
Alhambra,China,9,7.74
Alhambra,Colombia,2,7.50
Alhambra,Croatia,9,7.63
Alhambra,Cyprus,1,8.00
Alhambra,Czech Republic,17,6.94
Alhambra,Denmark,14,7.00
Alhambra,England,15,7.01
Alhambra,Estonia,6,6.53
Alhambra,Finland,39,6.96
Alhambra,France,26,7.06
Alhambra,Germany,180,7.23
Alhambra,Greece,42,7.71
Alhambra,Guatemala,1,7.00
Alhambra,Hong Kong,10,7.15
Alhambra,Hungary,28,7.44
Alhambra,Iceland,2,8.25
Alhambra,India,2,7.00
Alhambra,Indonesia,3,7.50
Alhambra,Ireland,10,7.38
Alhambra,Israel,7,7.13
Alhambra,Italy,55,7.48
Alhambra,Japan,29,7.27
Alhambra,Latvia,4,8.00
Alhambra,Lithuania,17,7.02
Alhambra,Luxembourg,3,6.33
Alhambra,Malaysia,4,7.38
Alhambra,Mexico,10,8.00
Alhambra,Moldova,1,8.00
Alhambra,Netherlands,43,7.72
Alhambra,New Zealand,26,7.36
Alhambra,Norway,20,7.20
Alhambra,Other-Middle East,1,7.00
Alhambra,Philippines,4,6.25
Alhambra,Poland,38,7.83
Alhambra,Portugal,22,7.68
Alhambra,Qatar,1,4.00
Alhambra,Romania,10,8.20
Alhambra,Russia,7,7.00
Alhambra,Saudi Arabia,1,9.00
Alhambra,Scotland,3,7.00
Alhambra,Serbia,5,8.40
Alhambra,Singapore,8,7.60
Alhambra,Slovakia,3,7.73
Alhambra,Slovenia,4,8.88
Alhambra,South Africa,6,7.00
Alhambra,South Korea,26,7.96
Alhambra,Spain,112,7.32
Alhambra,Sweden,35,7.26
Alhambra,Switzerland,12,7.25
Alhambra,Taiwan,13,7.98
Alhambra,Thailand,6,8.30
Alhambra,Uganda,1,6.50
Alhambra,Ukraine,1,7.00
Alhambra,United Kingdom,162,7.47
Alhambra,USA,1101,7.55
Alhambra,Venezuela,1,10.00
Alhambra,Wales,3,7.33
Android: Netrunner,Andorra,1,7.00
Android: Netrunner,Argentina,8,7.38
Android: Netrunner,Australia,32,7.79
Android: Netrunner,Austria,4,6.25
Android: Netrunner,Belgium,6,9.33
Android: Netrunner,Bolivia,1,8.00
Android: Netrunner,Brazil,20,8.01
Android: Netrunner,Bulgaria,3,7.67
Android: Netrunner,Canada,109,8.20
Android: Netrunner,Chile,6,7.92
Android: Netrunner,China,13,8.00
Android: Netrunner,Colombia,2,9.00
Android: Netrunner,Croatia,1,10.00
Android: Netrunner,Czech Republic,5,7.40
Android: Netrunner,Denmark,5,8.16
Android: Netrunner,England,4,6.25
Android: Netrunner,Finland,11,8.45
Android: Netrunner,France,11,8.23
Android: Netrunner,Germany,54,8.12
Android: Netrunner,Greece,10,8.39
Android: Netrunner,Guatemala,1,9.00
Android: Netrunner,Hong Kong,3,8.00
Android: Netrunner,Hungary,2,7.00
Android: Netrunner,Iceland,2,9.00
Android: Netrunner,Indonesia,2,9.00
Android: Netrunner,Ireland,2,7.00
Android: Netrunner,Isle of Man,1,9.00
Android: Netrunner,Israel,2,4.50
Android: Netrunner,Italy,19,7.95
Android: Netrunner,Japan,8,7.50
Android: Netrunner,Latvia,3,8.00
Android: Netrunner,Lithuania,5,8.84
Android: Netrunner,Luxembourg,1,8.00
Android: Netrunner,Macedonia,1,7.00
Android: Netrunner,Malaysia,2,8.50
Android: Netrunner,Mexico,5,7.90
Android: Netrunner,Netherlands,10,7.98
Android: Netrunner,New Zealand,6,7.62
Android: Netrunner,Norway,4,7.50
Android: Netrunner,Peru,1,7.00
Android: Netrunner,Philippines,3,7.33
Android: Netrunner,Poland,24,8.23
Android: Netrunner,Portugal,7,8.41
Android: Netrunner,Qatar,1,4.00
Android: Netrunner,Romania,4,9.44
Android: Netrunner,Russia,6,7.54
Android: Netrunner,Serbia,2,7.25
Android: Netrunner,Singapore,1,9.00
Android: Netrunner,Slovakia,1,9.50
Android: Netrunner,South Africa,3,9.00
Android: Netrunner,South Korea,13,7.51
Android: Netrunner,Spain,35,7.54
Android: Netrunner,Sweden,15,8.33
Android: Netrunner,Switzerland,5,8.00
Android: Netrunner,Taiwan,8,8.76
Android: Netrunner,Thailand,1,4.00
Android: Netrunner,Turkey,1,8.50
Android: Netrunner,Turks and Caicos Islands,1,8.50
Android: Netrunner,Ukraine,2,8.95
Android: Netrunner,United Kingdom,67,7.85
Android: Netrunner,USA,540,7.92
Android: Netrunner,Venezuela,1,5.00
Android: Netrunner,Vietnam,1,9.00
Android: Netrunner,Wales,2,10.00
Apples to Apples,Argentina,1,7.00
Apples to Apples,Australia,35,6.25
Apples to Apples,Austria,2,6.50
Apples to Apples,Belgium,7,6.00
Apples to Apples,Brazil,4,6.00
Apples to Apples,Canada,168,6.73
Apples to Apples,Chile,4,7.15
Apples to Apples,China,3,6.00
Apples to Apples,Colombia,3,6.00
Apples to Apples,Denmark,2,6.50
Apples to Apples,England,6,7.58
Apples to Apples,Finland,12,6.68
Apples to Apples,France,4,6.50
Apples to Apples,Germany,39,6.25
Apples to Apples,Greece,1,8.00
Apples to Apples,Guam,1,6.00
Apples to Apples,Guatemala,1,8.00
Apples to Apples,Hong Kong,2,7.25
Apples to Apples,Hungary,1,6.50
Apples to Apples,India,2,6.50
Apples to Apples,Ireland,6,7.50
Apples to Apples,Israel,3,5.67
Apples to Apples,Italy,4,7.75
Apples to Apples,Japan,9,5.07
Apples to Apples,Malaysia,4,5.63
Apples to Apples,Mexico,1,6.50
Apples to Apples,Netherlands,6,7.50
Apples to Apples,New Zealand,7,7.07
Apples to Apples,Norway,3,7.00
Apples to Apples,Other-Middle East,1,7.00
Apples to Apples,Philippines,1,6.00
Apples to Apples,Poland,15,6.27
Apples to Apples,Russia,1,5.00
Apples to Apples,Singapore,3,4.67
Apples to Apples,South Africa,1,5.00
Apples to Apples,South Korea,6,7.00
Apples to Apples,Spain,16,7.07
Apples to Apples,Sweden,12,6.83
Apples to Apples,Switzerland,2,7.50
Apples to Apples,Taiwan,3,8.00
Apples to Apples,United Kingdom,72,6.92
Apples to Apples,USA,1518,6.47
Apples to Apples,Uruguay,1,7.00
Apples to Apples,Venezuela,1,9.00
Apples to Apples,Wales,1,5.00
Arkham Horror,Argentina,11,6.55
Arkham Horror,Australia,55,7.13
Arkham Horror,Austria,12,7.58
Arkham Horror,Belarus,1,9.00
Arkham Horror,Belgium,12,7.29
Arkham Horror,Bolivia,1,9.00
Arkham Horror,Brazil,27,8.24
Arkham Horror,Bulgaria,1,9.00
Arkham Horror,Canada,181,7.53
Arkham Horror,Chile,8,7.36
Arkham Horror,China,14,7.57
Arkham Horror,Colombia,1,8.00
Arkham Horror,Croatia,5,7.80
Arkham Horror,Czech Republic,12,6.38
Arkham Horror,Denmark,14,7.64
Arkham Horror,England,6,8.33
Arkham Horror,Estonia,5,8.30
Arkham Horror,Finland,31,7.41
Arkham Horror,France,18,7.54
Arkham Horror,Germany,104,7.70
Arkham Horror,Greece,23,8.05
Arkham Horror,Hong Kong,8,7.69
Arkham Horror,Hungary,13,7.32
Arkham Horror,Iceland,2,8.00
Arkham Horror,Indonesia,2,7.60
Arkham Horror,Ireland,6,7.67
Arkham Horror,Isle of Man,1,9.50
Arkham Horror,Israel,6,7.33
Arkham Horror,Italy,42,7.32
Arkham Horror,Japan,5,5.20
Arkham Horror,Lebanon,1,9.00
Arkham Horror,Lithuania,8,7.25
Arkham Horror,Luxembourg,1,8.20
Arkham Horror,Macedonia,2,8.00
Arkham Horror,Malaysia,6,6.30
Arkham Horror,Mexico,11,7.55
Arkham Horror,Moldova,1,8.00
Arkham Horror,Netherlands,16,7.85
Arkham Horror,New Zealand,7,6.76
Arkham Horror,Norway,14,6.36
Arkham Horror,Peru,2,7.00
Arkham Horror,Philippines,5,7.10
Arkham Horror,Poland,62,7.71
Arkham Horror,Portugal,5,7.82
Arkham Horror,Romania,3,8.90
Arkham Horror,Russia,16,7.19
Arkham Horror,Scotland,6,7.50
Arkham Horror,Serbia,1,8.00
Arkham Horror,Singapore,3,6.00
Arkham Horror,Slovenia,1,8.00
Arkham Horror,South Korea,18,6.42
Arkham Horror,Spain,115,7.72
Arkham Horror,Sweden,45,6.88
Arkham Horror,Switzerland,7,8.57
Arkham Horror,Taiwan,8,7.60
Arkham Horror,Thailand,2,6.00
Arkham Horror,Turkey,2,8.00
Arkham Horror,Ukraine,8,7.58
Arkham Horror,United Kingdom,117,7.32
Arkham Horror,USA,1105,7.40
Arkham Horror,Venezuela,1,7.00
Arkham Horror,Vietnam,2,8.50
Arkham Horror,Wales,2,6.00
Axis & Allies,Argentina,1,7.50
Axis & Allies,Australia,26,6.60
Axis & Allies,Austria,1,10.00
Axis & Allies,Belgium,12,6.63
Axis & Allies,Brazil,9,6.83
Axis & Allies,Canada,187,6.85
Axis & Allies,Chile,1,8.00
Axis & Allies,China,3,7.27
Axis & Allies,Croatia,4,7.00
Axis & Allies,Czech Republic,1,9.00
Axis & Allies,Denmark,13,6.54
Axis & Allies,Fiji,1,8.00
Axis & Allies,Finland,8,6.56
Axis & Allies,France,3,5.33
Axis & Allies,Germany,45,6.68
Axis & Allies,Greece,9,7.00
Axis & Allies,Hong Kong,7,6.43
Axis & Allies,Hungary,1,8.00
Axis & Allies,Iceland,2,7.00
Axis & Allies,India,1,4.00
Axis & Allies,Ireland,1,9.00
Axis & Allies,Israel,3,8.33
Axis & Allies,Italy,39,7.18
Axis & Allies,Latvia,1,6.00
Axis & Allies,Lithuania,1,8.00
Axis & Allies,Malaysia,3,6.53
Axis & Allies,Mexico,5,6.64
Axis & Allies,Netherlands,20,7.34
Axis & Allies,New Zealand,7,7.04
Axis & Allies,Norway,10,5.70
Axis & Allies,Other-Middle East,1,7.00
Axis & Allies,Peru,2,7.25
Axis & Allies,Portugal,4,6.75
Axis & Allies,Qatar,1,7.80
Axis & Allies,Romania,2,8.00
Axis & Allies,Russia,1,7.00
Axis & Allies,Singapore,5,4.60
Axis & Allies,Slovenia,3,7.33
Axis & Allies,South Africa,1,3.00
Axis & Allies,South Korea,5,7.20
Axis & Allies,Spain,12,6.96
Axis & Allies,Sweden,25,6.02
Axis & Allies,Switzerland,3,8.00
Axis & Allies,Thailand,1,9.00
Axis & Allies,Turkey,1,7.00
Axis & Allies,Ukraine,1,4.00
